id,source,reference,target,error_span,category,severity
0,<v>何立峰指出</v>，举办本届论坛是落实习近平主席和岸田文雄首相曼谷会晤共识、加强中日绿色发展合作的重要举措。,"He Lifeng pointed out that hosting this forum is an important measure to implement the consensus reached between President Xi Jinping and Prime Minister Fumio Kishida during their meeting in Bangkok, and to strengthen cooperation between China and Japan in green development.",The forum is an important step in implementing the consensus reached at the meeting between President Xi Jinping and Prime Minister Wen Jiabao in Bangkok and in strengthening China-Japan cooperation on green development.,何立峰指出,omission,major
1,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用' -x' 选项(或文件名后Ah) 告诉geo 从哪里开始,用'~-c' ，'-s' ,或'-E' 选项告诉geo 到哪里结束.注意,某些选项组合(例如，'-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用' .o' 蔡换源文件名后级' .ec <v>标</v>文件名. 可以使用-o 选项选择其他名字.GCC忽略-ec 选项后面任何无法识别的输入文伯-S F 何事情.","You'll be able utilize the ""-x"" choice (or Ok taking after the record title) to tell Geo where to begin in the event that you fair work a parcel of the four phases (preprocessing, compilation, get together, and connecting). You'll utilize the “-c,” “-s,” or the “-E” alternative to tell Geo where to end, be mindful that a few choices, such “-x cpp-output -E,” cause MEF to break even with 0, ETER, compile or put together source records. ATI Period GCC substitutes the source record title by default with "".o"" and "".ec."" The -o alternative permits the choice of extra names, after the -ec alternative, GCC overlooks any unrecognized input content. -S F anything.","If only a portion of the four stages (preprocessing, compiling, assembling, connecting) are operated, you can use the '-x' option (or Ah after the filename) to tell geo where to start, and the '~-c', '-s', or '-E' option to tell geo where to end.Note that certain combinations of options (e.g., '-x cpp-output -E') {i gee MEF =c compile or assemble the source file, ETER. ERA ATI By default, GCC uses ' .o 'Change source file name back level ' .EC Name of the document. You can use the -o option to select other names.GCC ignores any unrecognizable input after the -ec option.",标,omission,major
2,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and<v> </v>Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","See the Information record ""gee"" or the Utilizing and Porting GNU CC (for adaptation 2.0) (ft&/HAIZE#H GNU CC 2.0) manual for the foremost later and comprehensive documentation. Both are taken from the gee.texinfo unique Texinfo record.","For complete and up-to-date documentation, consult the Info file 'gee' or UsingandPortingGNUCC ( for version 2) . ( ft&/HAIZE #HGNUCC2) ( ft&/HAIZE #HGNUCC2) 0) manual. Both are from the original Texinfo file gee. Texinfo,", ,omission,major
3,台湾执政的民进党<v>连日</v>澄清拒绝接受“九二共识”。,Taiwan's ruling Democratic Progressive Party (DPP) has for days clarified its refusal to accept the 1992 Consensus.,The ruling Taiwanese Democratic Party (PDP) has clarified its refusal to accept the 1992 consensus.,连日,omission,major
4,<v>欧洲Euractiv网站称</v>，欧盟官员承认，难民接收过程每一步都存在瓶颈，有限的接收能力和成员国不堪重负的移民当局无法阻止难民在欧盟各国提交“无数”庇护申请，欧盟的难民接收系统处于近乎“永久性的危机”中。,"EU authorities acknowledge that there are bottlenecks at every stage of the refugee admission procedure, according to the European Euractiv website, a ""Permanent Crisis.""","EU officials have acknowledged bottlenecks at every step of the process, limited reception capacity and overburdened immigration authorities in member states to prevent refugees from submitting “numerous” asylum applications in EU countries, and the EU's refugee reception system is in a near-permanent crisis.",欧洲Euractiv网站称,omission,major
5,看评论说很人性化的设计，我没有找到哪里人性化，遥控器这个常用的上下<v>左右</v>，返回键设计的位置实在是不敢恭维。,"Although it is described as having a very user-friendly design in the comments, I couldn't discover any examples of a human-friendly design, Up, down, left, and right are the often utilized remote control directions, and the back button's placement is actually not very attractive.","I've seen comments about the humanized design, but I can't find any humanized ones, and the remote control is a commonly used up and down position, and the return key design is really not complimentary.",左右,omission,major
6,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU<v> </v>CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","See the Information record ""gee"" or the Utilizing and Porting GNU CC (for adaptation 2.0) (ft&/HAIZE#H GNU CC 2.0) manual for the foremost later and comprehensive documentation. Both are taken from the gee.texinfo unique Texinfo record.","For complete and up-to-date documentation, consult the Info file 'gee' or UsingandPortingGNUCC ( for version 2) . ( ft&/HAIZE #HGNUCC2) ( ft&/HAIZE #HGNUCC2) 0) manual. Both are from the original Texinfo file gee. Texinfo,", ,omission,major
7,图片没有拍出侧面的细节，侧面的细节跟主体的风格并不一致，有很大差别，这是其一；这个珠子是泰国产的，没有标明产地，这是其二；没有标明质地，这是其三；我在英国买的时候，分明每项各有盒子，这里只有一个简简单单的塑料袋，而且珠子上面没有任何的产品标志，我<v>哪里</v>判断得出是真是假。,"This bead is made in Thailand, but there is no indication of origin, this is two; there is no indication of texture, this is three; I purchased it in the United Kingdom, where clearly each item has a box, here there is only a simple plastic bag, and the beads lack any product logo, where I can determine whether it is true or false, The picture did not remove the side details, the side details and the main style are inconsistent, there is a significant difference, so this is one.","There is no detail on the side of the picture, and the detail on the side is very different from the style of the subject, which is one; this bead is from Thailand, which is not indicated, which is the second; the texture is not indicated, which is the third; when I bought it in England, it was clear that each item had a box, there was a simple plastic bag, and there was no product logo on the bead, so I could tell if it was true or false.",哪里,omission,major
8,<v>瓶子底部一角凹陷的厉害，应该是经历过强烈的撞击才能导致的</v>，从外包装袋看，感觉蹂躏的程度让人揪心，毕竟是食物类的包装太简单了，而且还是属于国际购的，还有没看到什么明显的防伪标识标志，开瓶非常轻松，关键是盖内的一层蜂蜜直接从里面冒出来了，有开口几乎是没有什么粘连性，外国产品都是这样的吗？,"The bottle's bottom corner is substantially dented, which should be the result of a powerful hit, from the outer packaging bag, it is alarming to see the extent of the damage, after all, despite the food's overly basic packaging, it is nevertheless sold abroad, have you noticed any blatant counterfeit prevention signs? The bottle is really simple to open, the crucial feature is that the honey layer in the top spills out right away, when there is an opening, adhesion is essentially nonexistent, are all imported goods the same?","From the outside of the packaging bag, the degree to which it is hard to feel is disturbing, after all, the food packaging is too simple, and yet belongs to international purchases, and there is no obvious anti-counterfeiting logo, opening the bottle is very easy, the key is that a layer of honey comes directly from the inside, there is an opening that is almost non-sticky, are foreign products like that?",瓶子底部一角凹陷的厉害，应该是经历过强烈的撞击才能导致的,omission,major
9,图片没有拍出侧面的细节，侧面的细节跟主体的风格并不一致，有很大差别，这是其一；这个珠子是泰国产的，没有标明产地，这是其二；没有标明质地，这是其三；我在英国买的时候，分明每项各有盒子，这里只有一个简简单单的塑料袋，而且<v>珠子上面</v>没有任何的产品标志，我哪里判断得出是真是假。,"This bead is made in Thailand, but there is no indication of origin, this is two; there is no indication of texture, this is three; I purchased it in the United Kingdom, where clearly each item has a box, here there is only a simple plastic bag, and the beads lack any product logo, where I can determine whether it is true or false, The picture did not remove the side details, the side details and the main style are inconsistent, there is a significant difference, so this is one.","The picture is not a picture of the side details, the side details are not in line with the style of the subject, there is a big difference, this is the first; this bead is made in Thailand, without indication of origin, this is the second; no mark is the texture, this is the third; when I bought in England, each box was marked, here was just a simple plastic bag, and there is no logo, where I can see is a fake.",珠子上面,omission,major
