id,source,reference,target,error_span,category,severity,source_lang,target_lang
0,"本文件代替GB 18030 一2005 信息技术”中文编码字符集与GB 18030 一2005 相比,除结构调整和编辑性改动外,主要扩术变化如下:","This record upgrades the Chinese coded character set for ""Data Innovation"" in GB 18030-2005, with the special case of auxiliary adjustments and publication modifications, the vital specialized changes from GB 18030-2005 are as takes after:","This file <v>instead of</v> GB18030 a 2005 information technology ""Chinese encoded character set compared with GB18030 a 2005, in addition to structural adjustment and editorial changes, the main expansion changes are as follows:",instead of,Accuracy/Mistranslation,Major,Chinese,English
1,"本文件代替GB 18030 一2005 信息技术”中文编码字符集与GB 18030 一2005 相比,除结构调整和编辑性改动外,主要扩术变化如下:","This record upgrades the Chinese coded character set for ""Data Innovation"" in GB 18030-2005, with the special case of auxiliary adjustments and publication modifications, the vital specialized changes from GB 18030-2005 are as takes after:","This file instead of GB18030 a 2005 information technology ""Chinese encoded character set compared with GB18030 <v>a</v> 2005, in addition to structural adjustment and editorial changes, the main expansion changes are as follows:",a,Accuracy/Mistranslation,Major,Chinese,English
2,"一-2000 年首次发布为GB 18030 一2000,2005 年第一次修订; 本次为第二次修订。","First issued in 2005 under the name GB 18030-2000, 1-2000 is now in its second edition.","<v>A</v> - 2000 first published as GB18030 a 2000, the first revision in 2005; this is the second revision.",A,Accuracy/Mistranslation,Major,Chinese,English
3,"一-2000 年首次发布为GB 18030 一2000,2005 年第一次修订; 本次为第二次修订。","First issued in 2005 under the name GB 18030-2000, 1-2000 is now in its second edition.","A - <v>2000 first published</v> as GB18030 a 2000, the first revision in 2005; this is the second revision.",2000 first published,Accuracy/Mistranslation,Major,Chinese,English
4,"一-2000 年首次发布为GB 18030 一2000,2005 年第一次修订; 本次为第二次修订。","First issued in 2005 under the name GB 18030-2000, 1-2000 is now in its second edition.","A - 2000 first published as GB18030 <v>a</v> 2000, the first revision in 2005; this is the second revision.",a,Accuracy/Mistranslation,Major,Chinese,English
5,将耳帐斜向下轻轻塞入耳道，以轻摆头部耳机不田动为家。,"Gently insert the ear tents downwardly into the ear canal, then gently swing your head to move the earphones.","The <v>ears</v> should be placed in a straight line, and the ears should be kept straight.",ears,Accuracy/Mistranslation,Major,Chinese,English
6,将耳帐斜向下轻轻塞入耳道，以轻摆头部耳机不田动为家。,"Gently insert the ear tents downwardly into the ear canal, then gently swing your head to move the earphones.","The ears should be placed in a <v>straight line</v>, and the ears should be kept straight.",straight line,Accuracy/Mistranslation,Major,Chinese,English
7,将耳帐斜向下轻轻塞入耳道，以轻摆头部耳机不田动为家。,"Gently insert the ear tents downwardly into the ear canal, then gently swing your head to move the earphones.","The ears should be placed in a straight line, and <v>the ears should be kept straight</v>.",the ears should be kept straight,Accuracy/Mistranslation,Major,Chinese,English
8,国内传统健身房普遍采取预付费模式，“赚用户不来的钱”是其发展的底层逻辑。,"Conventional domestic gyms often use a prepaid model, and their evolution was motivated by ""making money from users who can't come.""","<v>Domestic</v> traditional gyms generally adopt a prepaid model, and ""making money that users don't get"" is the underlying logic of their development.",Domestic,Accuracy/Mistranslation,Major,Chinese,English
9,国内传统健身房普遍采取预付费模式，“赚用户不来的钱”是其发展的底层逻辑。,"Conventional domestic gyms often use a prepaid model, and their evolution was motivated by ""making money from users who can't come.""","Domestic traditional gyms generally adopt a prepaid model, and ""making money that users <v>don't get</v>"" is the underlying logic of their development.",don't get,Accuracy/Mistranslation,Major,Chinese,English
10,打算在江北买一套刚需房的郑女士说，保价的房源首先是要同一户型，还得在同一楼栋、同一个单元，买家可以比价的房源寥寥，因此“门槛”还是蛮高的。,"Concurring to Ms Zheng, who plans to buy a modern domestic in Jiangbei, the price-insured domestic must to begin with be of the same sort, housed within the same complex, and be within the same flat, since there are so few homes accessible for comparison, the ""edge"" is still reasonably tall, of.","According to <v>the New York City Department of Housing and Urban Development</v>, the price of a home is the same as the price of a home, and the price of a home is the same as the price of a home.",the New York City Department of Housing and Urban Development,Accuracy/Mistranslation,Major,Chinese,English
11,打算在江北买一套刚需房的郑女士说，保价的房源首先是要同一户型，还得在同一楼栋、同一个单元，买家可以比价的房源寥寥，因此“门槛”还是蛮高的。,"Concurring to Ms Zheng, who plans to buy a modern domestic in Jiangbei, the price-insured domestic must to begin with be of the same sort, housed within the same complex, and be within the same flat, since there are so few homes accessible for comparison, the ""edge"" is still reasonably tall, of.","According to the New York City Department of Housing and Urban Development, <v>the price of a home is the same as the price of a home, and the price of a home is the same as the price of a home. </v>","the price of a home is the same as the price of a home, and the price of a home is the same as the price of a home. ",Accuracy/Mistranslation,Major,Chinese,English
12,多项数据衰退台湾经济开年表现不佳-中新网,"Agreeing to a number of information focuses, Taiwan's economy did ineffectively within the begin of the year",Taiwan's economy underperformed <v>in the first year of recession</v> - CNN.com,in the first year of recession,Accuracy/Mistranslation,Major,Chinese,English
13,多项数据衰退台湾经济开年表现不佳-中新网,"Agreeing to a number of information focuses, Taiwan's economy did ineffectively within the begin of the year",Taiwan's economy underperformed in the first year of recession - <v>CNN.com</v>,CNN.com,Accuracy/Mistranslation,Major,Chinese,English
14,新华社台北2月11日电(记者赵博、黄扬)出口贸易额“连五黑”，制造业采购经理人指数(PMI)连续7个月紧缩，消费者物价指数(CPI)又见“3字头”……近期，台湾当局陆续发布2023年1月经济数据。,"February 11, Taipei, Xinhua News Organization (Columnists Zhao Bo and Huang Yang) The fabricating acquiring managers' list (PMI) has declined for seven straight months, the send out exchange volume is ""five blacks in a push,"" and the customer cost list (CPI) contains a ""3 prefix"", The Taiwanese government has fair begun discharging financial information for January 2023, February, Taipei, Xinhua News Organization (Columnists Zhao Bo and Huang Yang) The fabricating obtaining managers' file (PMI) has declined for seven straight months, the send out exchange volume is ""five blacks in a row,"" and the buyer cost record (CPI) includes a ""3 prefix"", The Taiwanese government has fair begun discharging financial information for January 2023.","Xinhua News Agency Taipei, February 11 (Reporters Zhao Bo, Huang Yang) Export trade volume ""<v>five consecutive black</v>,"" manufacturing purchasing managers' index (PMI) contracted for seven consecutive months, consumer price index (CPI) also see ""three digits""...",five consecutive black,Accuracy/Mistranslation,Major,Chinese,English
15,新华社台北2月11日电(记者赵博、黄扬)出口贸易额“连五黑”，制造业采购经理人指数(PMI)连续7个月紧缩，消费者物价指数(CPI)又见“3字头”……近期，台湾当局陆续发布2023年1月经济数据。,"February 11, Taipei, Xinhua News Organization (Columnists Zhao Bo and Huang Yang) The fabricating acquiring managers' list (PMI) has declined for seven straight months, the send out exchange volume is ""five blacks in a push,"" and the customer cost list (CPI) contains a ""3 prefix"", The Taiwanese government has fair begun discharging financial information for January 2023, February, Taipei, Xinhua News Organization (Columnists Zhao Bo and Huang Yang) The fabricating obtaining managers' file (PMI) has declined for seven straight months, the send out exchange volume is ""five blacks in a row,"" and the buyer cost record (CPI) includes a ""3 prefix"", The Taiwanese government has fair begun discharging financial information for January 2023.","Xinhua News Agency Taipei, February 11 (Reporters Zhao Bo, Huang Yang) Export trade volume ""five consecutive black,"" manufacturing purchasing managers' index (PMI) contracted for seven consecutive months, consumer price index (CPI) also see ""<v>three digits</v>""...",three digits,Accuracy/Mistranslation,Major,Chinese,English
16,专家分析认为，台湾经济开年表现欠佳，增长压力不小。,"Agreeing to master examination, Taiwan's economy performed ineffectively at the starting of the year, and the development weight isn't little.","Analysts believe that Taiwan's economy has fared poorly <v>in the first year</v>, and that there is little pressure to grow.",in the first year,Accuracy/Mistranslation,Major,Chinese,English
17,专家分析认为，台湾经济开年表现欠佳，增长压力不小。,"Agreeing to master examination, Taiwan's economy performed ineffectively at the starting of the year, and the development weight isn't little.","Analysts believe that Taiwan's economy has fared poorly in the first year, and that <v>there is little pressure to grow</v>.",there is little pressure to grow,Accuracy/Mistranslation,Major,Chinese,English
18,央视网消息：种植牙是很多缺牙患者的理想选择，但一直以来，动辄上万元一颗的价格让很多患者望而却步。,"CCTV news: For numerous patients who are lost teeth, dental inserts are the most excellent alternative, however, for an awfully long time, the taken a toll of tens of thousands of dollars per embed has hindered numerous individuals.","<v>For example, in the case of dental implants, the cost of a dental implant can be as high as $1, but in the case of dental implants, the cost of a dental implant can be as high as $1</v>.","For example, in the case of dental implants, the cost of a dental implant can be as high as $1, but in the case of dental implants, the cost of a dental implant can be as high as $1",Accuracy/Mistranslation,Major,Chinese,English
19,央视网消息：种植牙是很多缺牙患者的理想选择，但一直以来，动辄上万元一颗的价格让很多患者望而却步。,"CCTV news: For numerous patients who are lost teeth, dental inserts are the most excellent alternative, however, for an awfully long time, the taken a toll of tens of thousands of dollars per embed has hindered numerous individuals.","For example, in the case of dental implants, the cost of a dental implant can be as high as <v>$1</v>, but in the case of dental implants, the cost of a dental implant can be as high as $1.",$1,Accuracy/Mistranslation,Major,Chinese,English
20,记者从郑州大学第一附属医院了解到，以单颗常规种植为例，从种植到最后修复，价格大概要一万六七千元左右。,"Concurring to the Primary Partnered Clinic of Zhengzhou College, the taken a toll for a single customary planting, as an illustration, ranges from 16,000 to 7,000 yuan from planting to last reclamation.","According to the first hospital in Zhengzhou University, the price of a <v>single conventional plant</v>, from planting to final restoration, is about 167,000 yuan.",single conventional plant,Accuracy/Mistranslation,Major,Chinese,English
21,记者从郑州大学第一附属医院了解到，以单颗常规种植为例，从种植到最后修复，价格大概要一万六七千元左右。,"Concurring to the Primary Partnered Clinic of Zhengzhou College, the taken a toll for a single customary planting, as an illustration, ranges from 16,000 to 7,000 yuan from planting to last reclamation.","According to the first hospital in Zhengzhou University, the price of a single conventional plant, from planting to final restoration, is about <v>167,000</v> yuan.","167,000",Accuracy/Mistranslation,Major,Chinese,English
22,中新网2月11日电题：中国电商行业涌现“新变量”，带货如何做到“内容为王”？,"Chinanews dot com February 11, new variables in China's e-commerce sector, how to make ""content is king""?","February 11: China's <v>electricity supplier</v> industry emerges ""new variable,"" with goods how to do ""content for the king""?",electricity supplier,Accuracy/Mistranslation,Major,Chinese,English
23,中新网2月11日电题：中国电商行业涌现“新变量”，带货如何做到“内容为王”？,"Chinanews dot com February 11, new variables in China's e-commerce sector, how to make ""content is king""?","February 11: China's electricity supplier industry emerges ""new variable,"" <v>with goods</v> how to do ""content for the king""?",with goods,Accuracy/Mistranslation,Major,Chinese,English
24,中新网2月11日电题：中国电商行业涌现“新变量”，带货如何做到“内容为王”？,"Chinanews dot com February 11, new variables in China's e-commerce sector, how to make ""content is king""?","February 11: China's electricity supplier industry emerges ""new variable,"" with goods how to do ""content <v>for the king</v>""?",for the king,Accuracy/Mistranslation,Major,Chinese,English
25,模仿老港片影调、配上经典粤语歌，打开@芳芳一人食抖音账号，精美的视频令人耳目一新。,Check out @Douyin for a stunning video with a vintage Hong Kong film style and classic Cantonese music.,"The <v>song</v> is a parody of the original song, and features the same lyrics as the original song, but with a slightly different lyrics and a slightly different sound.",song,Accuracy/Mistranslation,Major,Chinese,English
26,模仿老港片影调、配上经典粤语歌，打开@芳芳一人食抖音账号，精美的视频令人耳目一新。,Check out @Douyin for a stunning video with a vintage Hong Kong film style and classic Cantonese music.,"The song is a parody of the <v>original song</v>, and features the same lyrics as the original song, but with a slightly different lyrics and a slightly different sound.",original song,Accuracy/Mistranslation,Major,Chinese,English
27,模仿老港片影调、配上经典粤语歌，打开@芳芳一人食抖音账号，精美的视频令人耳目一新。,Check out @Douyin for a stunning video with a vintage Hong Kong film style and classic Cantonese music.,"The song is a parody of the original song, and features <v>the same lyrics as the original song</v>, but with a slightly different lyrics and a slightly different sound.",the same lyrics as the original song,Accuracy/Mistranslation,Major,Chinese,English
28,北交所表示，融资融券标的股票名单和可充抵保证金证券名单将通过北交所官网的“信息披露-融资融券信息”栏目公布，方便投资者查询。,"""According to the BSE, the list of stocks subject to financing and financing and the list of securities eligible for margin will be published through the """"Information Disclosure - Financing and Financing Information"""" section of the BSE's official website for the convenience of investors.""","According to the Financial Services Agency (FSA), the listing of <v>securities eligible for financing</v> and the list of securities eligible for crediting will be made public through the ""Information Disclosure - Financial Information"" section of the website of the FSA, making it easier for investors to find out.",securities eligible for financing,Accuracy/Mistranslation,Major,Chinese,English
29,北交所表示，融资融券标的股票名单和可充抵保证金证券名单将通过北交所官网的“信息披露-融资融券信息”栏目公布，方便投资者查询。,"""According to the BSE, the list of stocks subject to financing and financing and the list of securities eligible for margin will be published through the """"Information Disclosure - Financing and Financing Information"""" section of the BSE's official website for the convenience of investors.""","According to the Financial Services Agency (FSA), the listing of securities eligible for financing and the list of <v>securities eligible for crediting</v> will be made public through the ""Information Disclosure - Financial Information"" section of the website of the FSA, making it easier for investors to find out.",securities eligible for crediting,Accuracy/Mistranslation,Major,Chinese,English
30,”在新进中央委员会的委员、候补委员和省部级主要领导干部学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神研讨班开班式上，习近平总书记科学把握现代化建设规律，深入系统阐明实践中需要处理好的一系列重大关系，为我们大力推进中国式现代化提供了科学方法论。,"""At the opening ceremony of the seminar on studying and implementing Xi Jinping's thought on socialism with Chinese characteristics for a new era and the spirit of the 20th Party Congress for the new members and alternate members of the Central Committee and major leading cadres at the provincial and ministerial levels, General Secretary Xi Jinping scientifically grasped the laws of modernization and clarified in depth and systematically a series of major relationships that need to be dealt with in practice, providing a scientific methodology for us to vigorously promote Chinese-style modernization.","At the opening of the seminar <v>of</v> the new members of the Central Committee, alternate members and leading cadres at the provincial and ministerial levels to learn and implement Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era and the Party's Twenty Great Spirits, General Secretary Xi Jinping grasped the laws of modernization construction scientifically, and explained in depth and systematically a series of major relations that need to be handled in practice, providing scientific methodology for us to vigorously promote Chinese-style modernization.",of,Accuracy/Mistranslation,Major,Chinese,English
