id,source,reference,target,error_span,category,severity,type,source_lang,target_lang
0,可惜最终效果没有能够实现。,"Unfortunately, the intended outcome was not realized.","Unfortunately, the <v> final effect was </v> not achieved.", final effect was ,no-error,no-error,gp,Chinese,English
1,8，所以，我打了低分。,"8, As a result, my grade was dismal.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","8. So, <v> I gave a </v> low score.‏‏‏‏‏‏‏‏‏‏‏‏", I gave a ,no-error,no-error,gp,Chinese,English
2,接听第二个来电并切换通话,Switch calls after second incoming call,Answer the second <v> incoming call and </v> switch calls., incoming call and ,no-error,no-error,gp,Chinese,English
3,希望不要被滥用。,"It shouldn't be misused, I hope.",<v> I hope it </v> will not be abused., I hope it ,no-error,no-error,gp,Chinese,English
4,华为是国货中的精品。,Huawei is the best of national products.,Huawei <v> is the national </v> product of excellence., is the national ,no-error,no-error,gp,Chinese,English
5,送货员很积极，很热情。,The individual who delivered the package was upbeat and enthusiastic.,The delivery man was <v> very active and </v> enthusiastic., very active and ,no-error,no-error,gp,Chinese,English
6,六百元的东西就这样对待，很失望的一次购物。,"This is how the 600 yuan item is handled, which is a very unsatisfactory purchase.",It cost <v> $600 and was </v> a disappointment., $600 and was ,no-error,no-error,gp,Chinese,English
7,感觉不太好,It's not a good sensation,I'm not feeling <v> too good about </v> this., too good about ,no-error,no-error,gp,Chinese,English
8,已经使用了3-4次了。,I've used it 3-4 times.,It has <v> been used 3-4 </v> times., been used 3-4 ,no-error,no-error,gp,Chinese,English
9,声音要用过一段时间再评！,"Before making a remark, sound should be used for some time!",The sound <v> will take a </v> while to comment!, will take a ,no-error,no-error,gp,Chinese,English
10,3.经常连不上手机。,3. Frequently unable to connect to a mobile phone.,3. I <v> often can't connect </v> to my phone., often can't connect ,no-error,no-error,gp,Chinese,English
11,很好颜色不是很鲜艳,Exceptionally good The color is not particularly vibrant,"<v> Very good, the </v> color is not very bright."," Very good, the ",no-error,no-error,gp,Chinese,English
12,在顾客还是客户的称谓上变来变去。,We modify the title of customer or client.,"The <v> terminology fluctuates between </v> ""customer"" and ""client"".", terminology fluctuates between ,no-error,no-error,gp,Chinese,English
13,因此变成亚马逊死忠粉,Therefore becoming a devoted fan of Amazon,"Therefore, I <v> became a die-hard </v> fan of Amazon.", became a die-hard ,no-error,no-error,gp,Chinese,English
14,雅兰床垫真心不错,Yalan mattresses are excellent,The Yalan <v> mattress is really </v> nice, mattress is really ,no-error,no-error,gp,Chinese,English
15,降价太厉害了,The price cut is too substantial,The <v> price cut is </v> too big, price cut is ,no-error,no-error,gp,Chinese,English
16,后面又说什么中转问题。,"About the transit issue, I'll speak later.",Then they <v> mentioned some issue </v> with the transit., mentioned some issue ,no-error,no-error,gp,Chinese,English
17,反正我觉得这个东西确实不错。,"Whatever the case, I think this is a really great thing.","Anyway, I <v> think this is </v> really good.", think this is ,no-error,no-error,gp,Chinese,English
18,难道是我运气不好？,Is it my misfortune?,<v> Could it be </v> that I'm out of luck?, Could it be ,no-error,no-error,gp,Chinese,English
19,快速了解互联网金融的导读书,Understand the Internet financial guidebook quickly,A Quick Guide <v> to Understanding Internet </v> Finance, to Understanding Internet ,no-error,no-error,gp,Chinese,English
20,本人要求周六、周日送货！,I want my package delivered on Saturday and Sunday!,<v> I want delivery </v> on Saturday and Sunday!, I want delivery ,no-error,no-error,gp,Chinese,English
21,亚马逊自营商品还是很放心的。,Self-operated Amazon goods continue to be quite comforting.,Amazon's <v> self-operated products are </v> very reliable., self-operated products are ,no-error,no-error,gp,Chinese,English
22,中新财经记者夏宾,"Xia Bin, a reporter with China New Finance and Economics",China News <v> Financial Reporter Xia </v> Bin, Financial Reporter Xia ,no-error,no-error,gp,Chinese,English
23,打造城市级高品质无线局域网。,Construct a top-notch remote LAN at the city level.,Build a <v> high-quality city-level wireless </v> local area network., high-quality city-level wireless ,no-error,no-error,gp,Chinese,English
24,估计今天也拿不到。,I suppose I won't be able to collect it today.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,I <v> don't think I'll </v> get it today.‏‏‏, don't think I'll ,no-error,no-error,gp,Chinese,English
25,根本不是大号！,Absolutely not a queen size!,<v> It's not a </v> large size at all!, It's not a ,no-error,no-error,gp,Chinese,English
26,给个赞！,Make a public announcement!,Give credit <v> where credit is </v> due!, where credit is ,no-error,no-error,gp,Chinese,English
27,目前我有几点感想,"So far, I have a few ideas","<v> So, I have </v> a few thoughts."," So, I have ",no-error,no-error,gp,Chinese,English
28,PS：轮子感觉确实挺好的,PS: The wheels are really comfortable‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,PS: The wheels do <v> indeed feel quite </v> good.‏, indeed feel quite ,no-error,no-error,gp,Chinese,English
29,给配送的打电话也不接。,The delivery person is unresponsive to calls.,Calls <v> to the delivery </v> service were not answered., to the delivery ,no-error,no-error,gp,Chinese,English
30,加强限制技术出口到中国,Increased restrictions on technology exports to China,Strengthen restrictions on <v> technology exports to </v> China, technology exports to ,no-error,no-error,gp,Chinese,English
31,只是前面那个帽。,Only the front cap.,<v> Just the cap </v> on the front., Just the cap ,no-error,no-error,gp,Chinese,English
32,"适合粗读,不能细看。","It is appropriate for skimming, not for close reading.","Suitable <v> for skimming, not </v> for detailed reading."," for skimming, not ",no-error,no-error,gp,Chinese,English
33,透气性也很好。,Breathability is excellent as well.,<v> The breathability is </v> also very good., The breathability is ,no-error,no-error,gp,Chinese,English
34,头带材质很好。,Excellent material for the headband.,The material of <v> the headband is </v> very good., the headband is ,no-error,no-error,gp,Chinese,English
35,8 部分字符和代码的说明,Chars & Codes Explained,8 <v> Explanation of some </v> characters and codes, Explanation of some ,no-error,no-error,gp,Chinese,English
36,没有想象的那么好,Not what was anticipated,It's not <v> as good as </v> it looks., as good as ,no-error,no-error,gp,Chinese,English
37,亚马逊，我如何再爱你？,"How am I supposed to love you again, Amazon?","Amazon, how can <v> I love you </v> again?", I love you ,no-error,no-error,gp,Chinese,English
38,等待供货商回复,Awaiting response from the supplier,<v> Waiting for a </v> response from the supplier., Waiting for a ,no-error,no-error,gp,Chinese,English
39,有史以来体验最差的一次购物,One of the worst buying experiences I've ever had,<v> The worst shopping </v> experience in history, The worst shopping ,no-error,no-error,gp,Chinese,English
40,1. 大品牌，价格便宜。,"1. A well-known brand, affordable price. ",1. Big <v> brands and cheap </v> prices., brands and cheap ,no-error,no-error,gp,Chinese,English
41,希望在包装上以后多改进！,"Hopefully, future packaging improvements will be made!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏",Hope to see <v> more improvements on </v> the packaging!, more improvements on ,no-error,no-error,gp,Chinese,English
42,只能说还凑合,All I can say is that it isn't bad,<v> It can only </v> be said to be passable., It can only ,no-error,no-error,gp,Chinese,English
43,气球事件更擦亮美国眼睛？,Will the balloon incident brighten the eyes of the United States?,The balloon incident <v> has brightened America's </v> eyes?, has brightened America's ,no-error,no-error,gp,Chinese,English
44,明明订单上有联系电话！,"Clearly, the order includes a phone number!",There is <v> a telephone number </v> on the order!, a telephone number ,no-error,no-error,gp,Chinese,English
45,"另外,本书感觉像是拼凑而成。","Furthermore, the book feels like a patchwork.","In addition, the book <v> feels like a </v> patchwork.", feels like a ,no-error,no-error,gp,Chinese,English
46,紧、窄，箍脚、磨脚背。,"Instep grinding, hoop feet, and tight, tiny spaces. ","Tight, narrow, hoop <v> feet, grind the </v> instep."," feet, grind the ",no-error,no-error,gp,Chinese,English
47,衣服的质量非常好。,The clothing is of excellent quality.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,The quality of <v> the clothes is </v> very good., the clothes is ,no-error,no-error,gp,Chinese,English
48,发货速度也快。,"Additionally, shipping happens quickly.",The delivery <v> speed is also </v> fast., speed is also ,no-error,no-error,gp,Chinese,English
49,质量很好5星，物流很差,"Excellent quality, 5 stars but very subpar logistics","Good quality, <v> 5 stars, poor </v> logistics"," 5 stars, poor ",no-error,no-error,gp,Chinese,English
50,本来应该是非常流畅的线条。,The lines ought to have been very slick.,It should <v> have been a </v> very smooth line., have been a ,no-error,no-error,gp,Chinese,English
51,猫猫喜欢吃，这是重点。,"The idea is that, cats enjoy eating.","Cats <v> love to eat, </v> and that's the point."," love to eat, ",no-error,no-error,gp,Chinese,English
52,最后，我们设定了两个大的战略方向。,"In the end, we set two major strategic directions.","Finally, we set <v> two major strategic </v> directions.", two major strategic ,no-error,no-error,gp,Chinese,English
53,疑为伪劣商品，请亚马逊严格审核,"Please conduct a thorough review, of suspected counterfeit goods by Amazon","Suspected shoddy goods, ask <v> Amazon for strict </v> scrutiny", Amazon for strict ,no-error,no-error,gp,Chinese,English
54,产品防伪标识在哪里,Where is the security seal for the product,Where <v> is the product's </v> anti-counterfeit label?, is the product's ,no-error,no-error,gp,Chinese,English
55,这次购买不是很满意,This acquisition falls short of expectations,This purchase <v> is not very </v> satisfactory, is not very ,no-error,no-error,gp,Chinese,English
56,综上，非常成功的一次购买。,"An excellent purchase, all around.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","In conclusion, this was <v> a very successful </v> purchase.‏‏‏‏", a very successful ,no-error,no-error,gp,Chinese,English
57,但是要退还钱真不知何时？,"However, I am unsure of when I will receive my money returned?",But when will <v> the money be </v> returned?, the money be ,no-error,no-error,gp,Chinese,English
58,！我为这样的治学精神感到遗憾。,！ Such a scholastic spirit makes me feel sad.,I <v> regret such an </v> attitude towards scholarship., regret such an ,no-error,no-error,gp,Chinese,English
59,国民党方面评价认为是新鲜事物。,The (KMT) considers this evaluation as a new development.,The <v> Kuomintang considered it </v> a novelty., Kuomintang considered it ,no-error,no-error,gp,Chinese,English
60,PS颜值不错,PS appears fine‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,<v> PS The appearance </v> is not bad.‏‏‏‏, PS The appearance ,no-error,no-error,gp,Chinese,English
61,邮政快递员也很负责。,The mail messenger was likewise quite responsible.,The <v> postal courier is </v> also very responsible., postal courier is ,no-error,no-error,gp,Chinese,English
62,提货服务有待改进,Improved pick-up service is required,<v> Pick-up service needs </v> to be improved, Pick-up service needs ,no-error,no-error,gp,Chinese,English
63,1、表包装严重破旧。,"1, The table packaging is severely deteriorated.",1 <v> The packaging is </v> badly damaged, The packaging is ,no-error,no-error,gp,Chinese,English
64,相当差的评价，很失望。,"Rating pretty bad, very disappointed.","<v> Quite a poor </v> review, very disappointing.", Quite a poor ,no-error,no-error,gp,Chinese,English
65,体验感中偏上水平,Intermediate to advanced level of experience,Above <v> average in terms </v> of experience., average in terms ,no-error,no-error,gp,Chinese,English
66,本文件规定三个实现级别。,Three usage levels are depicted in this report.,<v> This document specifies </v> three implementation levels., This document specifies ,no-error,no-error,gp,Chinese,English
67,应该是正品吧？,"It ought to be authentic, right?","It's supposed to be <v> a genuine product, </v> right?"," a genuine product, ",no-error,no-error,gp,Chinese,English
68,性价比很高的作品集,Portfolio that is economical,<v> A portfolio of </v> great value for money, A portfolio of ,no-error,no-error,gp,Chinese,English
69,对这个代理公司和亚马逊实在是很无语。,"As it relates to this agency and Amazon, I am truly stunned.",I'm really speechless <v> about this agency </v> and Amazon., about this agency ,no-error,no-error,gp,Chinese,English
70,图片质量实在不能接受,The visual quality is quite poor,<v> The image quality </v> is simply unacceptable., The image quality ,no-error,no-error,gp,Chinese,English
71,正是源于此，我才选择了华为。,I decided on Huawei because of this.,<v> That is why </v> I chose Huawei., That is why ,no-error,no-error,gp,Chinese,English
