index,hypothesis,system,mqm,sqm,gemba,domain,doc,source,reference
0,"The rules in GB/T 1.1-202 are the establishment for this record, rules for Long-Term Standardization Work Segment II: Guidelines Record Structure and Composing Rules.",refA,-0.0,85.0,-25.0,manuals,gb-0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,"The rules in GB/T 1.1-202 are the establishment for this record, rules for Long-Term Standardization Work Segment II: Guidelines Record Structure and Composing Rules."
1,"This record upgrades the Chinese coded character set for ""Data Innovation"" in GB 18030-2005, with the special case of auxiliary adjustments and publication modifications, the vital specialized changes from GB 18030-2005 are as takes after:",refA,-5.0,83.5,0.0,manuals,gb-0,"本文件代替 GB 18030 一 2005 信息技术 ”中文编码字符集与 GB 18030 一 2005 相比,除结构调整和编辑性改动外,主要扩术变化如下:","This record upgrades the Chinese coded character set for ""Data Innovation"" in GB 18030-2005, with the special case of auxiliary adjustments and publication modifications, the vital specialized changes from GB 18030-2005 are as takes after:"
2,"The related objects of this record have been included (see Chapter 1),",refA,-1.1,83.5,-25.0,manuals,gb-0,增加了本文件适用对象(见第 1 章)，,"The related objects of this record have been included (see Chapter 1),"
3,"The GB/I 13000 code areas for 10 vertical accentuation marks, 8 Chinese character components, 6 drearily coded Chinese character components, and 9 tediously coded Chinese characters are adjusted within the double-byte coding locale (see Reference section D, Reference section A of the 2005 version),",refA,-2.1,85.5,-25.0,manuals,gb-0,"在双字节编码区更改了 10 个竖排标点和8 个汉字构件所对应的 GB/I 13000 代码位置,并其除了 6 个重复编码的汉字构件和 9 个重复编码的汉字( 见附录 D,2005 年版的附录A)，","The GB/I 13000 code areas for 10 vertical accentuation marks, 8 Chinese character components, 6 drearily coded Chinese character components, and 9 tediously coded Chinese characters are adjusted within the double-byte coding locale (see Reference section D, Reference section A of the 2005 version),"
4,"Within the four-byte coding range, 18 GB/T 13000 code places have changed (see Reference section D, Reference section D of the 2005 version);",refA,-5.0,83.5,0.0,manuals,gb-0,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","Within the four-byte coding range, 18 GB/T 13000 code places have changed (see Reference section D, Reference section D of the 2005 version);"
5,"Appendix with more Chinese characters and radicals/parts removed from 2005 edition,",refA,-9.2,75.5,-25.0,manuals,gb-1,删除了附录 ”追加的汉字及部首/部件 “ 见 2005 年版的附录 〇 ，,"Appendix with more Chinese characters and radicals/parts removed from 2005 edition,"
6,Addition of a degree of implementation (see Article 9);,refA,-4.2,73.5,-25.0,manuals,gb-1,"增加了实现的级别 "" (见第9草);",Addition of a degree of implementation (see Article 9);
7,"Appendix Diao, ""Table of General Normative Chinese Characters; Code Positions of Discussed Characters,"" has been added as an educational supplement.",refA,-16.200000000000003,72.0,-25.0,manuals,gb-1,增加了资料性附录 “通用规范汉字表 ; 议字的代码位置 “ 见附录刁。,"Appendix Diao, ""Table of General Normative Chinese Characters; Code Positions of Discussed Characters,"" has been added as an educational supplement."
8,Please be aware that this text may include references to patents in some places. This document's issuing agency disclaims any liability related to patent identification.,refA,-3.0,77.0,-1.0,manuals,gb-1,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please be aware that this text may include references to patents in some places. This document's issuing agency disclaims any liability related to patent identification.
9,The People's Republic of China's Ministry of Industry and Information Technology is responsible for the proposal and administration of this document.,refA,-0.0,75.5,-1.0,manuals,gb-1,本文件由中华人民共和国工业和信息化部提出并归口。,The People's Republic of China's Ministry of Industry and Information Technology is responsible for the proposal and administration of this document.
